"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","GPUBusy","VALUBusy","SALUBusy","MemUnitBusy","SFetchInsts","FetchSize","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,0,0,8368,8377,4352,256,2048,0,32,80,80896,"0x14b99bdd6f80","0x14b898045ec0",100,0.0496879242,0.0246352678,19.2076283672,7,201.5,1026431302224905,1026233137663021,1026431311702017,1026431311718500,198174038996
1,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,1,0,8368,8377,4352,256,2048,0,32,80,80896,"0x14b99bdd6f80","0x14b898045ec0",100,0.0431507981,0.0213941614,20.2459361508,7,225,1026431311735703,1026233140432477,1026431312165219,1026431313749373,198171732742
2,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",0,2,0,8368,8377,4352,256,2048,0,28,72,63424,"0x14b99bdd6f80","0x14b898045e00",100,0.0373600562,0.0217220213,26.7569074861,6,182.4375,1026431313787937,1026233118305465,1026431314567313,1026431314580051,198196261848
3,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,3,0,8368,8377,4352,256,2048,0,32,80,80896,"0x14b99bdd6f80","0x14b898045ec0",100,0.000185558,9.19996e-05,3.843084932,7,2703.875,1026431314611272,1026233140428797,1026431598211101,1026431603791249,198457782304
4,"__omp_offloading_43b2fce4_f60002d4__ZN7Poisson9DirichletIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l75.kd",0,0,1,8368,8377,4352,256,2048,0,28,72,73280,"0x14b99bdd6f80","0x14b898045e80",100,0.0283094099,0.0164597612,9.6836770982,6,74.8125,1026431604706472,1026431311702346,1026431666267668,1026431666372703,354565322
5,"__omp_offloading_43b2fce4_f60002d4__ZN7Poisson9DirichletIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l75.kd",0,1,1,8368,8377,4352,256,2048,0,28,72,73280,"0x14b99bdd6f80","0x14b898045e80",100,0.0521198101,0.0303036916,16.1504004714,6,73.6875,1026431666407169,1026431312165324,1026431667073522,1026431667085553,354908198
6,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,2,1,8368,8374,66304,256,2048,0,32,80,80896,"0x14b99bdd7180","0x14b898045ec0",100,0.986718918,0.4858495391,29.2123453017,7,1079.1875,1026431666859666,1026431314567418,1026431667836566,1026431667845585,353269148
7,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,3,1,8368,8377,4352,256,2048,0,32,80,80896,"0x14b99bdd6f80","0x14b898045ec0",100,0.0122213405,0.0060593394,4.3748493593,7,109.4375,1026431667099200,1026431598210867,1026431933735591,1026431950982880,335524724
8,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,0,2,8368,8374,66304,256,2048,0,32,80,80896,"0x14b99bdd7180","0x14b898045ec0",100,0.6116452218,0.3011673777,26.4052220733,7,1134.5,1026431667860263,1026431666267438,1026431668303129,1026431668311788,2035691
9,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",0,1,2,8368,8374,66304,256,2048,0,28,72,63424,"0x14b99bdd7180","0x14b898045e00",100,0.6229500296,0.3599421305,28.9541895625,6,601.375,1026431668338550,1026431667073522,1026431668690971,1026431668721281,1617449
10,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,2,2,8368,8374,66304,256,2048,0,32,80,80896,"0x14b99bdd7180","0x14b898045ec0",100,0.7192327245,0.3541422803,27.8629521768,7,1120.3125,1026431668732603,1026431667836566,1026431669115934,1026431669122738,1279368
11,"__omp_offloading_43b2fce4_f60002d4__ZN7Poisson9DirichletIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l75.kd",0,3,2,8368,8374,66304,256,2048,0,28,72,73280,"0x14b99bdd7180","0x14b898045e80",100,3.3502748074,1.9357974068,18.1615066891,6,534.125,1026431669144600,1026431933735591,1026431934562475,1026431951172147,826884
12,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,4,0,8368,8375,4352,256,2048,0,32,80,80896,"0x14b99bdd7200","0x14b893f45ec0",100,0.069714917,0.0345646489,8.9491313168,7,86.625,1026431764717554,1024955632640320,1026431765090323,1026431765099735,1476132450003
13,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,5,0,8368,8375,4352,256,2048,0,32,80,80896,"0x14b99bdd7200","0x14b893f45ec0",100,0.0588060947,0.0291560559,12.6813636437,7,117.25,1026431765110586,861330288685582,1026431765449685,1026431765542602,165101476764103
14,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,6,0,8368,8375,4352,256,2048,0,32,80,80896,"0x14b99bdd7200","0x14b893f45ec0",100,0.0478191219,0.0237087158,9.6219795294,7,100.3125,1026431765579403,1024795486852305,1026431766062648,1026431766066667,1636279210343
15,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",1,7,0,8368,8375,4352,256,2048,0,28,72,63424,"0x14b99bdd7200","0x14b893f45e00",100,0.0002340903,0.0001361056,4.9060302024,6,2521.4375,1026431766102887,1023845908011726,1026432051856487,1026432052980386,2586143844761
16,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,0,3,8368,8377,4352,256,2048,0,32,80,80896,"0x14b99bdd6f80","0x14b898045ec0",100,1.6143741109,1.0744833093,44.7395299825,5.5,9.25,1026431951045712,1026431668303126,1026431959275582,1026431959287243,290972456
17,"__omp_offloading_43b2fce4_f60002d4__ZN7Poisson9DirichletIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l75.kd",0,1,3,8368,8374,66304,256,2048,0,28,72,73280,"0x14b99bdd7180","0x14b898045e80",100,0.6886105167,0.6236124803,2.6684959887,5.5,9.25,1026431951353418,1026431668690968,1026431959344222,1026431959346818,290653254
18,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,2,3,8368,8376,16896,256,2048,0,32,80,80896,"0x14b99bdd7000","0x14b898045ec0",100,0.6885801641,0.6235849926,2.6683783665,5.5,9.25,1026431958937355,1026431669115931,1026431959356063,1026431959358801,290240132
19,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",0,3,3,8368,8377,4352,256,2048,0,28,72,63424,"0x14b99bdd6f80","0x14b898045e00",100,1.0569372625,0.5252119504,7.8233570956,6.9384057971,1111.8125,1026431959299767,1026431934562475,1026431960273348,1026431961410494,25710873
20,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,0,4,8368,8374,66304,256,2048,0,32,80,80896,"0x14b99bdd7180","0x14b898045ec0",100,1.0569420222,0.5252143155,7.8233923264,6.9384057971,1111.8125,1026431959361126,1026431959275582,1026431960267268,1026431961119501,991686
21,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,1,4,8368,8376,16896,256,2048,0,32,80,80896,"0x14b99bdd7000","0x14b898045ec0",100,0.2532137126,0.1252974678,0.8336848151,7,283.0625,1026431959372137,1026431959344222,1026431961166953,1026431961407769,1822731
22,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,2,4,8368,8368,112640,256,2048,0,32,80,80896,"0x14b99bdd6f00","0x14b898045ec0",100,16.5223585179,8.5324189055,36.1819904775,7.1909090909,1230.6875,1026431960942448,1026431959356063,1026431962556882,1026431962589307,3200819
